행정구역,시군구,면적,인구수,남자,여자,유소년,생산가능인구,고령인구,외국인,외국인(남),외국인(여),인구밀도,인구증가율
경상남도,의령군,482.92,26800,12966,13356,1660,14548,10114,702,466,236,54.51,-1.78
경상남도,함안군,416.62,64182,31816,30731,6540,39268,16739,2816,2250,566,150.13,-2.55
경상남도,창녕군,532.64,61301,29948,30181,4788,35741,19600,2130,1439,691,112.89,-1.91
경상남도,고성군,517.97,51361,25297,25181,4223,29712,16543,1020,731,289,97.45,-1.72
경상남도,남해군,357.55,42958,20450,21816,2840,22978,16448,749,636,113,118.21,-1.61
경상남도,하동군,674.91,44785,21696,21753,2955,24713,15781,440,191,249,64.38,-2.98
경상남도,산청군,794.7,34857,16931,17429,2128,19057,13175,511,242,269,43.24,-1.43
경상남도,함양군,725.61,39080,18531,19779,3004,21812,13494,367,182,185,52.8,-1.97
경상남도,거창군,803.42,61502,29955,31118,6152,37376,17545,512,262,250,76.02,-0.7
경상남도,합천군,983.08,44006,20765,22170,2586,22759,17590,569,330,239,43.67,-2.43
제주특별자치도,제주시,978.7,507358,246494,246602,70746,348553,73797,13747,7480,6267,503.83,-2.81
제주특별자치도,서귀포시,871.6,190220,92683,90980,23592,123223,36848,6970,4165,2805,210.72,-3.45
